Name,NameKana,NameRomaji,Region
永田町, ながたちょう, nagatacho, 南北線
溜池山王, ためいけさんのう, tameikesanno, 南北線
六本木一丁目, ろっぽんぎいっちょうめ, roppongiitchome, 南北線
麻布十番, あざぶじゅうばん, azabujuban, 南北線
白金高輪, しろかねたかなわ, shirokanetakanawa, 南北線
白金台, しろかねだい, shirokanedai, 南北線
目黒, めぐろ, meguro, 南北線
市ヶ谷, いちがや, ichigaya, 南北線
飯田橋, いいだばし, idabashi, 南北線
後楽園, こうらくえん, korakuen, 南北線
東大前, とうだいまえ, todaimae, 南北線
本駒込, ほんこまごめ, honkomagome, 南北線
駒込, こまごめ, komagome, 南北線
西ヶ原, にしがはら, nishigahara, 南北線
王子, おうじ, oji, 南北線
王子神谷, おうじかみや, ojikamiya, 南北線
志茂, しも, shimo, 南北線
赤羽岩淵, あかばねいわぶち, akabaneiwabuchi, 南北線
西船橋, にしふなばし, nishi-funabashi, 東西線
原木中山, ばらきなかやま, baraki-nakayama, 東西線
妙典, みょうでん, myoden, 東西線
行徳, ぎょうとく, gyotoku, 東西線
南行徳, みなみぎょうとく, minami-gyotoku, 東西線
浦安, うらやす, urayasu, 東西線
葛西, かさい, kasai, 東西線
西葛西, にしかさい, nishi-kasai, 東西線
南砂町, みなみすなまち, minami-sunamachi, 東西線
東陽町, とうようちょう, touyoucho, 東西線
木場, きば, kiba, 東西線
門前仲町, もんぜんなかちょう, monzen-nakacho, 東西線
茅場町, かやばちょう, kayabacho, 東西線
日本橋, にほんばし, nihonbashi, 東西線
大手町, おおてまち, otemachi, 東西線
竹橋, たけばし, takebashi, 東西線
九段下, くだんした, kudanshita, 東西線
飯田橋, いいだばし, iidabashi, 東西線
神楽坂, かぐらざか, kagurazaka, 東西線
早稲田, わせだ, waseda, 東西線
高田馬場, たかだのばば, takadanobaba, 東西線
落合, おちあい, ochiai, 東西線
中野, なかの, nakano, 東西線
江戸川橋, えどがわばし, edogawabasi, 有楽町線
護国寺, ごこくじ, gokokuji, 有楽町線
東池袋, ひがしいけぶくろ, higasiikebukuro, 有楽町線
池袋, いけぶくろ, ikebukuro, 有楽町線
要町, かなめちょう, kanametyou, 有楽町線
千川, せんかわ, senkawa, 有楽町線
小竹向原, こたけむかいはら, kotakemukaihara, 有楽町線
氷川台, ひかわだい, hikawadai, 有楽町線
平和台, へいわだい, heiwadai, 有楽町線
営団赤塚, えいだんあかつか, eidanakakuka, 有楽町線
営団成増, えいだんなります, eidannarimasu, 有楽町線
和光市, わこうし, wakousi, 有楽町線
